sep=,
DeviceTag:,Xsens DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Orientation (Euler),,,,,,,,,,,,,,,,,
StartTime:,2022-06-09 15:40:42.352 +0530,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z
1, 2307284757, 159.03570556640625, -86.1305160522461, -99.49055480957031
2, 2307301424, 158.8402862548828, -86.14237976074219, -99.3973159790039
3, 2307318091, 158.6640167236328, -86.15524291992188, -99.23259735107422
4, 2307334758, 158.5738525390625, -86.17438507080078, -99.1606216430664
5, 2307351425, 158.58277893066406, -86.1857681274414, -99.17240905761719
6, 2307368092, 158.58436584472656, -86.19316864013672, -99.16233825683594
7, 2307384759, 158.58102416992188, -86.1973876953125, -99.15953063964844
8, 2307401426, 158.59658813476562, -86.20120239257812, -99.19103240966797
9, 2307418093, 158.64105224609375, -86.20331573486328, -99.2423324584961
10, 2307434760, 158.67047119140625, -86.20610046386719, -99.26597595214844
11, 2307451427, 158.6886444091797, -86.20832061767578, -99.2820053100586
12, 2307468094, 158.71437072753906, -86.21007537841797, -99.3163833618164
13, 2307484761, 158.71507263183594, -86.21250915527344, -99.30635833740234
14, 2307501428, 158.719482421875, -86.21369171142578, -99.31133270263672
15, 2307518095, 158.7256317138672, -86.21431732177734, -99.32791900634766
16, 2307534762, 158.7263641357422, -86.21576690673828, -99.33056640625
17, 2307551429, 158.72982788085938, -86.21540069580078, -99.33824157714844
18, 2307568096, 158.74305725097656, -86.21452331542969, -99.3498306274414
19, 2307584763, 158.77328491210938, -86.21375274658203, -99.38232421875
20, 2307601430, 158.76812744140625, -86.21379852294922, -99.37423706054688
21, 2307618097, 158.7748260498047, -86.21379852294922, -99.38174438476562
22, 2307634764, 158.7645263671875, -86.21343231201172, -99.37335205078125
23, 2307651431, 158.77037048339844, -86.21328735351562, -99.3761978149414
24, 2307668098, 158.76535034179688, -86.21431732177734, -99.36219787597656
