sep=,
DeviceTag:,Xsens DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Orientation (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2022-06-09 15:41:09.209 +0530,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
1, 2334139888, 0.59902316, 0.36849704, -0.62851834, 0.33218348
2, 2334156555, 0.5990495, 0.3682258, -0.6287766, 0.33194798
3, 2334173222, 0.5990021, 0.36833486, -0.6287119, 0.33203518
4, 2334189889, 0.5989392, 0.36852044, -0.62857896, 0.3321944
5, 2334206556, 0.59899807, 0.36845845, -0.6285964, 0.33212397
6, 2334223223, 0.5990623, 0.36836034, -0.6286457, 0.33202332
7, 2334239890, 0.59910625, 0.36829713, -0.6286519, 0.33200255
8, 2334256557, 0.59915984, 0.3682029, -0.62870145, 0.33191657
9, 2334273224, 0.5992282, 0.36809173, -0.628773, 0.3317809
10, 2334289891, 0.5992163, 0.3681377, -0.6287494, 0.33179626
11, 2334306558, 0.5991959, 0.3681929, -0.628715, 0.33183718
12, 2334323225, 0.59914714, 0.36827615, -0.62867564, 0.3319072
13, 2334339892, 0.5991799, 0.3682349, -0.6287006, 0.3318464
14, 2334356559, 0.5991694, 0.36824068, -0.6287075, 0.33184603
15, 2334373226, 0.59917676, 0.36821547, -0.62872785, 0.33182204
16, 2334389893, 0.5991788, 0.36821356, -0.6287254, 0.33182496
17, 2334406560, 0.5991709, 0.36823598, -0.6287177, 0.33182916
18, 2334423227, 0.59918976, 0.368202, -0.628739, 0.3317924
19, 2334439894, 0.5992017, 0.3681961, -0.6287311, 0.33179247
20, 2334456561, 0.59919155, 0.36821026, -0.6287155, 0.33182445
21, 2334473228, 0.5992139, 0.36817408, -0.62872696, 0.33180285
22, 2334489895, 0.5992123, 0.36818233, -0.628716, 0.33181724
23, 2334506562, 0.5992134, 0.36818704, -0.62870526, 0.33183032
24, 2334523229, 0.59920615, 0.36820897, -0.62868905, 0.33184975
25, 2334539896, 0.5991991, 0.3682171, -0.62868726, 0.33185714
26, 2334556563, 0.599187, 0.3682347, -0.6286773, 0.33187807
27, 2334573230, 0.5991746, 0.36823222, -0.62868774, 0.33188337
28, 2334589897, 0.5991784, 0.36822635, -0.62868804, 0.33188266
29, 2334606564, 0.5992073, 0.36818627, -0.6287018, 0.331849
30, 2334623231, 0.599229, 0.3681387, -0.62872696, 0.33181468
31, 2334639898, 0.5992296, 0.36813593, -0.62873024, 0.33181053
32, 2334656565, 0.5992181, 0.36815324, -0.62871575, 0.33183938
33, 2334673232, 0.59921813, 0.36815122, -0.62871337, 0.33184612
34, 2334689899, 0.5992155, 0.36816, -0.62869495, 0.33187598
35, 2334706566, 0.5992122, 0.3681539, -0.62870467, 0.3318704
36, 2334723233, 0.59921485, 0.3681547, -0.6287031, 0.33186767
37, 2334739900, 0.5992188, 0.36813438, -0.6287187, 0.3318536
38, 2334756567, 0.59922135, 0.36811325, -0.6287328, 0.33184558
39, 2334773234, 0.599216, 0.36811918, -0.6287277, 0.33185834
40, 2334789901, 0.5992201, 0.36810493, -0.6287394, 0.33184475
41, 2334806568, 0.59921986, 0.36811122, -0.6287388, 0.3318391
42, 2334823235, 0.59921473, 0.36812097, -0.6287338, 0.33184704
43, 2334839902, 0.59915954, 0.36821488, -0.62868595, 0.3319335
44, 2334856569, 0.59916025, 0.36821085, -0.6286815, 0.33194512
45, 2334873236, 0.5991681, 0.3682028, -0.6286775, 0.3319471
46, 2334889903, 0.5991698, 0.3681875, -0.6286948, 0.3319282
47, 2334906570, 0.5991633, 0.36820087, -0.62869287, 0.33192897
48, 2334923237, 0.59919083, 0.3681503, -0.6287232, 0.33187756
49, 2334939904, 0.59921587, 0.3681102, -0.6287523, 0.33182165
50, 2334956571, 0.59919703, 0.36814448, -0.62873584, 0.33184898
51, 2334973238, 0.599197, 0.36813667, -0.62874204, 0.3318462
52, 2334989905, 0.59920204, 0.3681161, -0.6287545, 0.331836
53, 2335006572, 0.59919155, 0.36812362, -0.6287586, 0.33183923
54, 2335023239, 0.5991851, 0.3681334, -0.6287481, 0.33185977
55, 2335039906, 0.59918857, 0.36811554, -0.6287596, 0.33185127
56, 2335056573, 0.5991836, 0.3681231, -0.62876403, 0.33184344
57, 2335073240, 0.59917367, 0.36815083, -0.62874997, 0.33185732
58, 2335089907, 0.599143, 0.3682116, -0.62871844, 0.3319053
59, 2335106574, 0.5991373, 0.36821166, -0.6287226, 0.33190748
60, 2335123241, 0.5991564, 0.3681706, -0.6287397, 0.331886
61, 2335139908, 0.5991522, 0.3681694, -0.6287457, 0.3318838
62, 2335156575, 0.5991262, 0.3681955, -0.628733, 0.3319258
63, 2335173242, 0.5990856, 0.36827278, -0.6286906, 0.33199358
64, 2335189909, 0.5990925, 0.3682528, -0.6287069, 0.3319725
65, 2335206576, 0.59909266, 0.36826047, -0.6286985, 0.33197948
66, 2335223243, 0.59907764, 0.3682867, -0.62868714, 0.3319992
67, 2335239910, 0.5990947, 0.36826417, -0.62869805, 0.33197266
68, 2335256577, 0.5990826, 0.36827123, -0.62870234, 0.33197856
69, 2335273244, 0.59909844, 0.36823246, -0.6287344, 0.3319323
70, 2335289911, 0.5990763, 0.3682606, -0.62872714, 0.3319547
71, 2335306578, 0.59906507, 0.36828572, -0.62871367, 0.33197278
72, 2335323245, 0.59907746, 0.36827278, -0.62871397, 0.33196408
73, 2335339912, 0.5990783, 0.36826852, -0.6287126, 0.33197
74, 2335356579, 0.59908736, 0.36823022, -0.62874347, 0.33193767
75, 2335373246, 0.5990964, 0.36822066, -0.6287479, 0.33192343
76, 2335389913, 0.59910035, 0.3682146, -0.62874913, 0.3319205
77, 2335406580, 0.59912133, 0.3681638, -0.62878466, 0.3318719
78, 2335423247, 0.5991273, 0.36814567, -0.6288028, 0.33184683
79, 2335439914, 0.599132, 0.36814308, -0.6288037, 0.33183965
80, 2335456581, 0.59912246, 0.3681528, -0.6288054, 0.33184284
81, 2335473248, 0.5991385, 0.36810562, -0.6288358, 0.33180857
82, 2335489915, 0.5991276, 0.3681118, -0.62883896, 0.3318153
83, 2335506582, 0.59911805, 0.3681186, -0.6288437, 0.33181593
84, 2335523249, 0.599118, 0.3681187, -0.6288432, 0.33181712
85, 2335539916, 0.5991252, 0.3681079, -0.6288494, 0.33180425
86, 2335556583, 0.5991271, 0.36811736, -0.6288388, 0.33181036
87, 2335573250, 0.5991384, 0.36811292, -0.628839, 0.33179432
88, 2335589917, 0.599147, 0.36809757, -0.6288478, 0.33177915
89, 2335606584, 0.599163, 0.3680733, -0.62886566, 0.33174354
90, 2335623251, 0.59914166, 0.36810198, -0.6288547, 0.33177108
91, 2335639918, 0.5991673, 0.3680486, -0.6288877, 0.33172154
92, 2335656585, 0.59913945, 0.36808708, -0.6288682, 0.33176592
93, 2335673252, 0.5991693, 0.36803812, -0.62889516, 0.3317154
94, 2335689919, 0.599178, 0.36801374, -0.6289075, 0.33170307
95, 2335706586, 0.59917855, 0.36802003, -0.6289024, 0.33170506
96, 2335723253, 0.5991943, 0.36798915, -0.62891537, 0.3316861
97, 2335739920, 0.5992017, 0.36796507, -0.628932, 0.33166775
98, 2335756587, 0.5991969, 0.36795747, -0.62894756, 0.33165526
99, 2335773254, 0.5992051, 0.36794257, -0.62895805, 0.33163735
100, 2335789921, 0.59920317, 0.36793745, -0.62895566, 0.33165085
101, 2335806588, 0.59920603, 0.36793935, -0.6289545, 0.33164588
102, 2335823255, 0.5991976, 0.36795306, -0.6289439, 0.33166596
103, 2335839922, 0.5992307, 0.36790696, -0.62896156, 0.3316238
104, 2335856589, 0.59922403, 0.3679174, -0.62895685, 0.33163315
105, 2335873256, 0.5991906, 0.3679744, -0.6289245, 0.3316917
106, 2335889923, 0.59919304, 0.36796978, -0.62892365, 0.33169422
107, 2335906590, 0.5992049, 0.36793128, -0.628952, 0.3316615
108, 2335923257, 0.5991838, 0.3679576, -0.62894166, 0.33169
109, 2335939924, 0.5991841, 0.36796126, -0.62893564, 0.33169708
110, 2335956591, 0.5991779, 0.36797547, -0.6289305, 0.33170205
111, 2335973258, 0.599189, 0.36796105, -0.6289391, 0.3316818
112, 2335989925, 0.5991728, 0.36798972, -0.62892145, 0.33171257
113, 2336006592, 0.59914327, 0.3680398, -0.6288956, 0.3317596
114, 2336023259, 0.5991324, 0.36805588, -0.6288824, 0.3317865
115, 2336039926, 0.5991203, 0.36807016, -0.62887734, 0.3318017
116, 2336056593, 0.5991345, 0.3680359, -0.62890476, 0.33176234
117, 2336073260, 0.599136, 0.36804155, -0.62889844, 0.33176538
