sep=,
DeviceTag:,Xsens DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Orientation (Euler),,,,,,,,,,,,,,,,,
StartTime:,2022-06-09 15:07:14.350 +0530,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z
1, 299292384, 119.11158752441406, -84.85630798339844, -59.184410095214844
2, 299309051, 119.1152114868164, -84.85159301757812, -59.20707321166992
3, 299325718, 119.04895782470703, -84.8395767211914, -59.15069580078125
4, 299342385, 118.93323516845703, -84.83024597167969, -59.02080535888672
5, 299359052, 118.84302520751953, -84.82176208496094, -58.92988967895508
6, 299375719, 118.79405212402344, -84.82051086425781, -58.90049743652344
7, 299392386, 118.80804443359375, -84.81609344482422, -58.88618850708008
8, 299409053, 118.82028198242188, -84.81231689453125, -58.894508361816406
9, 299425720, 118.8057861328125, -84.80906677246094, -58.885658264160156
10, 299442387, 118.81071472167969, -84.80899047851562, -58.87547302246094
11, 299459054, 118.80503845214844, -84.80797576904297, -58.86085510253906
12, 299475721, 118.81546020507812, -84.80540466308594, -58.86339569091797
13, 299492388, 118.81966400146484, -84.80303192138672, -58.87837600708008
14, 299509055, 118.81697845458984, -84.80137634277344, -58.88248825073242
15, 299525722, 118.82320404052734, -84.80054473876953, -58.89400863647461
16, 299542389, 118.8250503540039, -84.79926300048828, -58.904659271240234
17, 299559056, 118.8251953125, -84.79862213134766, -58.91075134277344
18, 299575723, 118.8372573852539, -84.7994155883789, -58.913551330566406
19, 299592390, 118.83834075927734, -84.79824829101562, -58.907596588134766
20, 299609057, 118.85600280761719, -84.79763793945312, -58.93465805053711
21, 299625724, 118.8633804321289, -84.79827880859375, -58.946170806884766
22, 299642391, 118.87744903564453, -84.798583984375, -58.959312438964844
23, 299659058, 118.87840270996094, -84.79835510253906, -58.95376205444336
24, 299675725, 118.87582397460938, -84.7977523803711, -58.95976638793945
25, 299692392, 118.88154602050781, -84.79651641845703, -58.96644592285156
26, 299709059, 118.89469146728516, -84.79681396484375, -58.96882247924805
27, 299725726, 118.89920043945312, -84.79670715332031, -58.971675872802734
28, 299742393, 118.90370178222656, -84.79541778564453, -58.97355651855469
29, 299759060, 118.8998794555664, -84.79474639892578, -58.96999740600586
30, 299775727, 118.89881134033203, -84.79519653320312, -58.96256637573242
31, 299792394, 118.89913177490234, -84.79429626464844, -58.96477127075195
32, 299809061, 118.9021987915039, -84.79319763183594, -58.96844482421875
