sep=,
DeviceTag:,Xsens DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Orientation (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2022-06-09 15:06:51.590 +0530,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
1, 276532362, 0.61207944, 0.38564736, -0.6109283, 0.321561
2, 276549029, 0.6121863, 0.38548282, -0.6109688, 0.32147798
3, 276565696, 0.61216766, 0.38554415, -0.6109891, 0.32140148
4, 276582363, 0.61219114, 0.38554114, -0.6110531, 0.32123864
5, 276599030, 0.6122001, 0.3855458, -0.6110911, 0.3211438
6, 276615697, 0.612233, 0.3855041, -0.61117333, 0.32097426
7, 276632364, 0.61221725, 0.3855421, -0.6111964, 0.3209149
8, 276649031, 0.61224526, 0.38550702, -0.611255, 0.32079208
9, 276665698, 0.6121617, 0.38566655, -0.6111981, 0.32086813
10, 276682365, 0.6121349, 0.38570055, -0.611217, 0.32084233
11, 276699032, 0.61214334, 0.38566542, -0.6112853, 0.32073843
12, 276715699, 0.6121181, 0.3857114, -0.6112797, 0.32074192
13, 276732366, 0.6120666, 0.38581508, -0.61124283, 0.32078576
14, 276749033, 0.61207926, 0.38577777, -0.61130404, 0.32068986
15, 276765700, 0.6120371, 0.38584426, -0.6113025, 0.32069317
16, 276782367, 0.61195403, 0.3859996, -0.611239, 0.32078558
17, 276799034, 0.6119246, 0.3860617, -0.61123216, 0.32078022
18, 276815701, 0.6118887, 0.38611376, -0.6112399, 0.32077128
19, 276832368, 0.61186045, 0.38615638, -0.61125124, 0.32075223
20, 276849035, 0.61184263, 0.38617906, -0.61127526, 0.32071316
21, 276865702, 0.6118248, 0.38620552, -0.6112945, 0.3206787
22, 276882369, 0.6118074, 0.38624012, -0.6113076, 0.32064527
23, 276899036, 0.6118, 0.38625008, -0.6113369, 0.32059172
24, 276915703, 0.61177796, 0.38629845, -0.61133516, 0.32057872
25, 276932370, 0.61175084, 0.38633847, -0.6113441, 0.3205651
26, 276949037, 0.6117161, 0.3863983, -0.6113444, 0.32055876
27, 276965704, 0.6117123, 0.38639477, -0.6113803, 0.32050186
28, 276982371, 0.6116818, 0.38644454, -0.6113898, 0.32048178
29, 276999038, 0.6116568, 0.3864836, -0.611393, 0.3204765
30, 277015705, 0.6116257, 0.3865293, -0.61139405, 0.32047847
31, 277032372, 0.61158335, 0.38659102, -0.6113949, 0.3204833
32, 277049039, 0.6115958, 0.3865664, -0.61143833, 0.32040644
33, 277065706, 0.6115886, 0.3865725, -0.6114605, 0.32037055
34, 277082373, 0.6115484, 0.38664636, -0.6114424, 0.3203928
35, 277099040, 0.61153865, 0.38666186, -0.61146456, 0.32035044
36, 277115707, 0.61151403, 0.38671443, -0.61145765, 0.32034692
37, 277132374, 0.61149985, 0.3867452, -0.6114687, 0.3203157
38, 277149041, 0.611483, 0.38676545, -0.61149895, 0.32026556
39, 277165708, 0.61147726, 0.38677612, -0.6115223, 0.32021895
40, 277182375, 0.6114459, 0.38682875, -0.61151814, 0.32022354
41, 277199042, 0.6114223, 0.38686797, -0.6115293, 0.3201999
42, 277215709, 0.611384, 0.38693765, -0.61151814, 0.3202103
43, 277232376, 0.6113787, 0.38694814, -0.611548, 0.3201504
44, 277249043, 0.6113792, 0.38694072, -0.61158776, 0.32008228
45, 277265710, 0.6113509, 0.38699946, -0.61157244, 0.3200949
46, 277282377, 0.6113283, 0.38703638, -0.6115774, 0.32008404
47, 277299044, 0.6113071, 0.3870905, -0.61156577, 0.3200814
48, 277315711, 0.61128086, 0.38711601, -0.61158615, 0.32006174
49, 277332378, 0.61126405, 0.38714674, -0.6116, 0.32002994
50, 277349045, 0.6112397, 0.38719139, -0.61160064, 0.32002124
51, 277365712, 0.6112099, 0.38723812, -0.6116085, 0.32000655
52, 277382379, 0.6111874, 0.38726735, -0.61162955, 0.31997412
53, 277399046, 0.6111644, 0.38731375, -0.61162573, 0.3199691
54, 277415713, 0.61115927, 0.38732287, -0.61164886, 0.31992358
55, 277432380, 0.61113995, 0.3873437, -0.61167175, 0.3198917
56, 277449047, 0.61112505, 0.38737527, -0.61167985, 0.31986612
57, 277465714, 0.6111092, 0.3874035, -0.61169046, 0.31984216
58, 277482381, 0.6111, 0.3874115, -0.6117186, 0.31979626
59, 277499048, 0.6110595, 0.38746583, -0.61172557, 0.31979457
60, 277515715, 0.6110645, 0.3874657, -0.61175704, 0.31972504
61, 277532382, 0.6110639, 0.38748106, -0.6117653, 0.31969136
62, 277549049, 0.61105525, 0.38748592, -0.61179626, 0.31964308
63, 277565716, 0.6110162, 0.38756135, -0.6117764, 0.31966433
64, 277582383, 0.6109848, 0.38761976, -0.61177135, 0.31966296
65, 277599050, 0.6109862, 0.38762817, -0.61179626, 0.31960243
66, 277615717, 0.6109593, 0.38767976, -0.6117931, 0.31959727
67, 277632384, 0.61098063, 0.38764682, -0.61183584, 0.31951484
68, 277649051, 0.61098653, 0.3876382, -0.6118672, 0.3194537
69, 277665718, 0.6109856, 0.387629, -0.61190355, 0.31939706
70, 277682385, 0.61098725, 0.38762558, -0.6119379, 0.31933218
71, 277699052, 0.6109869, 0.38764098, -0.611951, 0.31928924
72, 277715719, 0.61098284, 0.3876615, -0.6119583, 0.31925812
73, 277732386, 0.61096364, 0.38768575, -0.61197716, 0.31922922
74, 277749053, 0.6109502, 0.38771516, -0.6119861, 0.31920218
75, 277765720, 0.6109378, 0.38774443, -0.611994, 0.31917527
76, 277782387, 0.61090386, 0.38781166, -0.6119736, 0.31919742
77, 277799054, 0.61089, 0.38782495, -0.6119971, 0.31916258
78, 277815721, 0.61088103, 0.387836, -0.6120251, 0.31911272
79, 277832388, 0.61088234, 0.38783363, -0.612047, 0.31907105
80, 277849055, 0.6108907, 0.3878362, -0.61206937, 0.31900907
81, 277865722, 0.61087257, 0.38785967, -0.6120831, 0.3189891
82, 277882389, 0.6108562, 0.3878811, -0.612095, 0.31897146
83, 277899056, 0.61085486, 0.38788277, -0.61211824, 0.31892723
84, 277915723, 0.610854, 0.3878869, -0.6121339, 0.31889376
85, 277932390, 0.6108461, 0.3879056, -0.6121437, 0.31886747
86, 277949057, 0.6108295, 0.38793054, -0.61215353, 0.31884998
87, 277965724, 0.6108132, 0.3879621, -0.6121515, 0.31884682
88, 277982391, 0.61078304, 0.38801375, -0.6121409, 0.318862
89, 277999058, 0.61077404, 0.38803336, -0.61214757, 0.31884268
90, 278015725, 0.61075914, 0.38804844, -0.61217034, 0.3188091
91, 278032392, 0.6107398, 0.3880871, -0.6121678, 0.31880376
92, 278049059, 0.6107277, 0.3881152, -0.6121656, 0.31879726
93, 278065726, 0.6107202, 0.38813627, -0.61217386, 0.3187698
94, 278082393, 0.61072415, 0.38810822, -0.6122197, 0.3187087
95, 278099060, 0.61072123, 0.38809565, -0.6122535, 0.31866467
96, 278115727, 0.6107126, 0.38811007, -0.61226773, 0.31863624
97, 278132394, 0.61070627, 0.3881066, -0.6122991, 0.3185922
98, 278149061, 0.6106846, 0.38814536, -0.61229724, 0.31859
99, 278165728, 0.61070764, 0.38810843, -0.61233777, 0.3185131
100, 278182395, 0.610753, 0.38802087, -0.61241513, 0.318384
101, 278199062, 0.6107347, 0.38804525, -0.6124208, 0.31837866
102, 278215729, 0.6107463, 0.38802597, -0.6124493, 0.3183248
103, 278232396, 0.61073005, 0.38804558, -0.61245775, 0.31831613
104, 278249063, 0.6107319, 0.38806742, -0.6124538, 0.3182934
105, 278265730, 0.6107233, 0.38807005, -0.6124726, 0.31827068
106, 278282397, 0.61072415, 0.38807634, -0.6124822, 0.31824252
107, 278299064, 0.61071867, 0.38808793, -0.61249006, 0.3182238
108, 278315731, 0.6107067, 0.3881051, -0.612495, 0.3182164
109, 278332398, 0.61068934, 0.38812995, -0.6125001, 0.31820965
110, 278349065, 0.6106974, 0.38811043, -0.61252487, 0.3181704
111, 278365732, 0.610698, 0.3881151, -0.6125373, 0.31813955
112, 278382399, 0.6106739, 0.3881624, -0.61252487, 0.31815204
113, 278399066, 0.61067474, 0.38816595, -0.6125287, 0.31813887
114, 278415733, 0.6106977, 0.38812938, -0.6125695, 0.31806067
115, 278432400, 0.6106783, 0.38815644, -0.61257267, 0.31805873
116, 278449067, 0.6106591, 0.38820457, -0.61255497, 0.3180709
117, 278465734, 0.61066204, 0.38819382, -0.61258096, 0.3180285
118, 278482401, 0.6106561, 0.38820174, -0.6125905, 0.31801164
119, 278499068, 0.61267734, 0.38490313, -0.61131537, 0.32057709
120, 278515735, 0.61268425, 0.38488322, -0.6113272, 0.3205653
121, 278532402, 0.6126838, 0.38487548, -0.6113317, 0.32056683
122, 278549069, 0.6126847, 0.3848749, -0.611327, 0.32057476
123, 278565736, 0.61267924, 0.3848764, -0.61132044, 0.320596
124, 278582403, 0.6126725, 0.3848826, -0.6113195, 0.32060328
125, 278599070, 0.6126592, 0.38489398, -0.611317, 0.32061955
126, 278615737, 0.61265916, 0.3848979, -0.6113185, 0.3206121
127, 278632404, 0.61266404, 0.38488904, -0.6113298, 0.3205919
128, 278649071, 0.61265236, 0.38490674, -0.61132896, 0.32059446
129, 278665738, 0.6126485, 0.3849121, -0.6113243, 0.32060426
130, 278682405, 0.6126449, 0.38491535, -0.6113214, 0.3206129
131, 278699072, 0.61263883, 0.3849269, -0.6113118, 0.32062897
132, 278715739, 0.6126406, 0.3849349, -0.6113029, 0.32063282
133, 278732406, 0.6126312, 0.38494945, -0.61129004, 0.32065794
134, 278749073, 0.61263573, 0.38495108, -0.61128, 0.32066673
135, 278765740, 0.61263734, 0.384952, -0.6112777, 0.32066697
136, 278782407, 0.61264443, 0.3849532, -0.6112648, 0.32067612
137, 278799074, 0.6126438, 0.3849388, -0.6112754, 0.32067454
138, 278815741, 0.6126434, 0.38494685, -0.6112657, 0.32068402
139, 278832408, 0.6126437, 0.3849498, -0.6112608, 0.32068938
140, 278849075, 0.61263704, 0.3849627, -0.6112553, 0.32069722
141, 278865742, 0.6126304, 0.38496476, -0.61125946, 0.32069945
142, 278882409, 0.612633, 0.38496608, -0.6112578, 0.32069606
143, 278899076, 0.61263204, 0.38496828, -0.6112567, 0.3206974
144, 278915743, 0.6126324, 0.38496193, -0.6112608, 0.32069662
145, 278932410, 0.6126306, 0.38495508, -0.61127216, 0.32068652
146, 278949077, 0.6126143, 0.38496262, -0.61127675, 0.3206998
147, 278965744, 0.612619, 0.38495997, -0.61127555, 0.32069647
148, 278982411, 0.61261314, 0.38496676, -0.6112773, 0.3206961
149, 278999078, 0.6126136, 0.38496274, -0.6112774, 0.32069978
150, 279015745, 0.61261475, 0.38497043, -0.6112681, 0.32070604
151, 279032412, 0.6126136, 0.38498282, -0.6112621, 0.32070485
152, 279049079, 0.6126172, 0.38497296, -0.61126673, 0.3207011
153, 279065746, 0.61261636, 0.38497996, -0.6112596, 0.32070783
154, 279082413, 0.6126243, 0.3849785, -0.6112586, 0.32069623
155, 279099080, 0.6126293, 0.38497338, -0.61125743, 0.3206951
156, 279115747, 0.6126287, 0.38498166, -0.61125195, 0.32069677
157, 279132414, 0.6126219, 0.3849867, -0.6112523, 0.3207029
158, 279149081, 0.6126221, 0.38498408, -0.61125076, 0.32070866
159, 279165748, 0.6126176, 0.38498336, -0.61124873, 0.3207219
160, 279182415, 0.61262244, 0.38498107, -0.6112496, 0.32071373
161, 279199082, 0.6126238, 0.3849785, -0.61124337, 0.3207261
162, 279215749, 0.6126288, 0.38498333, -0.6112377, 0.3207214
163, 279232416, 0.61263096, 0.38497615, -0.6112437, 0.32071462
164, 279249083, 0.6126341, 0.3849792, -0.6112403, 0.32071128
165, 279265750, 0.6126383, 0.38497654, -0.6112382, 0.32071066
166, 279282417, 0.6126351, 0.3849816, -0.6112328, 0.32072082
167, 279299084, 0.61263716, 0.38499317, -0.6112182, 0.32073087
168, 279315751, 0.612631, 0.38499004, -0.6112254, 0.32073262
169, 279332418, 0.61263067, 0.3849834, -0.61123043, 0.3207319
170, 279349085, 0.6126259, 0.38497475, -0.6112415, 0.32073018
171, 279365752, 0.6126224, 0.38497987, -0.61124253, 0.32072872
172, 279382419, 0.6126266, 0.3849671, -0.61125046, 0.32072076
173, 279399086, 0.6126266, 0.3849648, -0.6112492, 0.32072616
174, 279415753, 0.6126308, 0.38496834, -0.61124414, 0.3207234
175, 279432420, 0.6126298, 0.38496423, -0.6112495, 0.32072023
176, 279449087, 0.6126281, 0.38496596, -0.6112457, 0.3207287
177, 279465754, 0.6126393, 0.3849574, -0.61124, 0.3207283
178, 279482421, 0.61263156, 0.38496664, -0.6112422, 0.32072797
179, 279499088, 0.612631, 0.38496596, -0.6112389, 0.32073587
180, 279515755, 0.61263025, 0.38496995, -0.6112366, 0.32073706
181, 279532422, 0.612627, 0.3849775, -0.61123335, 0.32074037
182, 279549089, 0.6126263, 0.38497898, -0.61123323, 0.32074016
183, 279565756, 0.6126174, 0.38497004, -0.61124176, 0.32075158
184, 279582423, 0.6126174, 0.38497075, -0.61124057, 0.32075292
185, 279599090, 0.61260897, 0.38498515, -0.6112371, 0.32075828
186, 279615757, 0.61261624, 0.38498315, -0.6112268, 0.32076636
187, 279632424, 0.6126194, 0.3849848, -0.6112229, 0.32076585
188, 279649091, 0.6126207, 0.38498065, -0.6112216, 0.32077068
189, 279665758, 0.61262023, 0.3849798, -0.6112208, 0.32077444
190, 279682425, 0.6126251, 0.3849638, -0.6112262, 0.32077417
191, 279699092, 0.6126248, 0.38497058, -0.61122125, 0.32077605
192, 279715759, 0.61262745, 0.38496977, -0.61121804, 0.32077813
193, 279732426, 0.6126267, 0.3849642, -0.611221, 0.3207807
194, 279749093, 0.6126274, 0.38496727, -0.6112206, 0.32077622
195, 279765760, 0.61262923, 0.3849756, -0.61121106, 0.32078084
196, 279782427, 0.61262834, 0.3849729, -0.61121297, 0.32078207
197, 279799094, 0.61263853, 0.38496283, -0.61120886, 0.32078248
198, 279815761, 0.61263305, 0.38496643, -0.6112067, 0.32079285
199, 279832428, 0.6126488, 0.38494715, -0.61121076, 0.3207782
200, 279849095, 0.6126438, 0.38495213, -0.61120653, 0.32078978
201, 279865762, 0.612642, 0.38495997, -0.61120373, 0.32078913
202, 279882429, 0.6126444, 0.38496068, -0.6111975, 0.32079574
203, 279899096, 0.61265117, 0.38495055, -0.6112011, 0.32078794
204, 279915763, 0.6126501, 0.38495564, -0.6111991, 0.32078773
205, 279932430, 0.6126557, 0.38495192, -0.61119705, 0.32078537
206, 279949097, 0.6126576, 0.38495547, -0.61118686, 0.320797
207, 279965764, 0.61266106, 0.38495708, -0.61118424, 0.3207935
208, 279982431, 0.6126646, 0.38495186, -0.61118317, 0.32079497
209, 279999098, 0.6126613, 0.3849526, -0.61118895, 0.32078937
210, 280015765, 0.61266696, 0.38494942, -0.61118907, 0.32078207
211, 280032432, 0.61267054, 0.38493708, -0.61119545, 0.32077804
212, 280049099, 0.612669, 0.38492912, -0.61119705, 0.32078755
213, 280065766, 0.6126688, 0.38491875, -0.6112123, 0.3207713
214, 280082433, 0.6126755, 0.38491163, -0.6112138, 0.32076424
215, 280099100, 0.6126774, 0.3849055, -0.61121064, 0.3207737
216, 280115767, 0.6126728, 0.3849071, -0.61121064, 0.32078058
217, 280132434, 0.6126778, 0.38489547, -0.6112137, 0.32077935
218, 280149101, 0.6126854, 0.38488632, -0.61120963, 0.32078364
219, 280165768, 0.61268127, 0.38489497, -0.61121297, 0.3207746
220, 280182435, 0.6126827, 0.38490713, -0.6111967, 0.32078832
221, 280199102, 0.61268467, 0.38491324, -0.61118996, 0.32079017
222, 280215769, 0.61268824, 0.38490582, -0.61119086, 0.32079044
223, 280232436, 0.61269087, 0.38490266, -0.61119205, 0.32078716
224, 280249103, 0.61268806, 0.38490766, -0.61118644, 0.32079682
225, 280265770, 0.6126916, 0.38490757, -0.6111842, 0.3207945
226, 280282437, 0.6126862, 0.38491008, -0.6111909, 0.32078886
