sep=,
DeviceTag:,Xsens DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Orientation (Euler),,,,,,,,,,,,,,,,,
StartTime:,2022-06-09 15:52:51.363 +0530,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z
1, 3036266465, -105.63309478759766, -0.9711284637451172, 178.65550231933594
2, 3036283132, -105.5434341430664, -0.9487031698226929, 178.68711853027344
3, 3036299799, -105.39818572998047, -0.9599145650863647, 178.68695068359375
4, 3036316466, -105.24109649658203, -0.9855178594589233, 178.67376708984375
5, 3036333133, -105.11677551269531, -1.0242925882339478, 178.67909240722656
6, 3036349800, -105.04351806640625, -1.0564055442810059, 178.650146484375
7, 3036366467, -104.99813079833984, -1.0773340463638306, 178.67152404785156
8, 3036383134, -104.97515869140625, -1.0928493738174438, 178.69119262695312
9, 3036399801, -104.96200561523438, -1.1094170808792114, 178.6876220703125
10, 3036416468, -104.95806884765625, -1.121939778327942, 178.68165588378906
11, 3036433135, -104.95915222167969, -1.134227991104126, 178.68740844726562
12, 3036449802, -104.96147155761719, -1.1511253118515015, 178.6822509765625
13, 3036466469, -104.97185516357422, -1.1764962673187256, 178.67530822753906
14, 3036483136, -104.9920883178711, -1.2069542407989502, 178.68988037109375
15, 3036499803, -105.01118469238281, -1.232446551322937, 178.69845581054688
16, 3036516470, -105.01783752441406, -1.249778151512146, 178.68482971191406
17, 3036533137, -105.02105712890625, -1.2632486820220947, 178.67039489746094
18, 3036549804, -105.02777099609375, -1.2736691236495972, 178.6461944580078
19, 3036566471, -105.02711486816406, -1.2762162685394287, 178.62570190429688
20, 3036583138, -105.02175903320312, -1.2695447206497192, 178.5954132080078
21, 3036599805, -105.01596069335938, -1.2607485055923462, 178.57888793945312
22, 3036616472, -105.01641082763672, -1.2557536363601685, 178.55247497558594
23, 3036633139, -105.01563262939453, -1.2462694644927979, 178.53749084472656
24, 3036649806, -105.00960540771484, -1.221652865409851, 178.53773498535156
25, 3036666473, -105.00054168701172, -1.1887532472610474, 178.525634765625
26, 3036683140, -104.98894500732422, -1.1581265926361084, 178.51593017578125
27, 3036699807, -104.97747802734375, -1.1336838006973267, 178.4849090576172
28, 3036716474, -104.96580505371094, -1.1147701740264893, 178.45339965820312
29, 3036733141, -104.95252227783203, -1.1035624742507935, 178.4318084716797
30, 3036749808, -104.95459747314453, -1.1080844402313232, 178.41383361816406
31, 3036766475, -104.96829986572266, -1.1264265775680542, 178.40440368652344
32, 3036783142, -104.98158264160156, -1.1463323831558228, 178.3939666748047
33, 3036799809, -104.99427032470703, -1.1648584604263306, 178.39549255371094
34, 3036816476, -105.00496673583984, -1.1800899505615234, 178.4053955078125
35, 3036833143, -105.0140380859375, -1.1908882856369019, 178.41751098632812
36, 3036849810, -105.02291870117188, -1.1959983110427856, 178.44430541992188
37, 3036866477, -105.02995300292969, -1.1963375806808472, 178.48243713378906
38, 3036883144, -105.03349304199219, -1.1925567388534546, 178.51991271972656
39, 3036899811, -105.0394058227539, -1.1871790885925293, 178.56248474121094
40, 3036916478, -105.04279327392578, -1.1803863048553467, 178.59051513671875
41, 3036933145, -105.04024505615234, -1.1671099662780762, 178.59371948242188
42, 3036949812, -105.03176879882812, -1.149166226387024, 178.59445190429688
43, 3036966479, -105.0256118774414, -1.1350890398025513, 178.59120178222656
44, 3036983146, -105.02604675292969, -1.1256368160247803, 178.60533142089844
45, 3036999813, -105.02577209472656, -1.1157891750335693, 178.61862182617188
46, 3037016480, -105.02235412597656, -1.105678677558899, 178.62571716308594
47, 3037033147, -105.02202606201172, -1.1020684242248535, 178.62643432617188
48, 3037049814, -105.02685546875, -1.1047983169555664, 178.62368774414062
49, 3037066481, -105.02951049804688, -1.1099714040756226, 178.62203979492188
50, 3037083148, -105.03253173828125, -1.1158400774002075, 178.61827087402344
51, 3037099815, -105.03636169433594, -1.1213335990905762, 178.61399841308594
52, 3037116482, -105.04078674316406, -1.128389835357666, 178.61866760253906
53, 3037133149, -105.0442123413086, -1.134344220161438, 178.61053466796875
54, 3037149816, -105.0457534790039, -1.1360574960708618, 178.59854125976562
55, 3037166483, -105.04582214355469, -1.1353023052215576, 178.59359741210938
56, 3037183150, -105.04605865478516, -1.1338903903961182, 178.5825958251953
57, 3037199817, -105.04638671875, -1.1363157033920288, 178.5738983154297
58, 3037216484, -105.04776000976562, -1.1385302543640137, 178.574951171875
59, 3037233151, -105.04960632324219, -1.1352883577346802, 178.57582092285156
60, 3037249818, -105.04586791992188, -1.122644066810608, 178.59556579589844
61, 3037266485, -105.03963470458984, -1.1066304445266724, 178.6025390625
62, 3037283152, -105.04039001464844, -1.0998629331588745, 178.613525390625
63, 3037299819, -105.04380798339844, -1.1028308868408203, 178.6218719482422
64, 3037316486, -105.04691314697266, -1.1077532768249512, 178.62899780273438
65, 3037333153, -105.0479965209961, -1.1098144054412842, 178.6393585205078
66, 3037349820, -105.05052185058594, -1.1141562461853027, 178.647216796875
67, 3037366487, -105.05793762207031, -1.1229405403137207, 178.65969848632812
68, 3037383154, -105.06543731689453, -1.1325527429580688, 178.6529083251953
69, 3037399821, -105.06996154785156, -1.1404520273208618, 178.65757751464844
70, 3037416488, -105.07221984863281, -1.1496663093566895, 178.65187072753906
71, 3037433155, -105.07683563232422, -1.1586740016937256, 178.63845825195312
72, 3037449822, -105.07830047607422, -1.1655281782150269, 178.61155700683594
73, 3037466489, -105.07859802246094, -1.1690768003463745, 178.59024047851562
74, 3037483156, -105.07923126220703, -1.1665403842926025, 178.57171630859375
75, 3037499823, -105.07704162597656, -1.1587659120559692, 178.5613555908203
76, 3037516490, -105.07567596435547, -1.1491050720214844, 178.54254150390625
77, 3037533157, -105.07490539550781, -1.144258737564087, 178.52157592773438
78, 3037549824, -105.07469940185547, -1.1432400941848755, 178.51220703125
79, 3037566491, -105.07604217529297, -1.1443551778793335, 178.5123291015625
80, 3037583158, -105.0767593383789, -1.142545461654663, 178.5236053466797
81, 3037599825, -105.07609558105469, -1.1410331726074219, 178.54705810546875
82, 3037616492, -105.07756042480469, -1.141394019126892, 178.56138610839844
83, 3037633159, -105.08441162109375, -1.1456714868545532, 178.55699157714844
