sep=,
DeviceTag:,Xsens DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Orientation (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2022-06-09 15:53:02.141 +0530,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
1, 3047055515, 0.018059047, 6.157556E-4, -0.7942245, 0.60735583
2, 3047072182, 0.01812544, 6.485743E-4, -0.79439986, 0.6071243
3, 3047088849, 0.018318122, 6.1496935E-4, -0.794673, 0.6067611
4, 3047105516, 0.01855972, 4.037855E-4, -0.79501855, 0.60630095
5, 3047122183, 0.018447509, 6.345174E-4, -0.7952527, 0.605997
6, 3047138850, 0.018417373, 7.2499766E-4, -0.79539067, 0.60581684
7, 3047155517, 0.018311394, 9.857618E-4, -0.7955412, 0.605622
8, 3047172184, 0.018313583, 0.0011144384, -0.79571056, 0.60539925
9, 3047188851, 0.01831856, 0.0012487661, -0.79587096, 0.60518783
10, 3047205518, 0.018391702, 0.0013145552, -0.79598045, 0.6050415
11, 3047222185, 0.01846817, 0.0012963082, -0.7960487, 0.60494936
12, 3047238852, 0.01840612, 0.0013708567, -0.79609305, 0.60489285
13, 3047255519, 0.018368278, 0.0013887398, -0.79612386, 0.60485345
14, 3047272186, 0.018418033, 0.0012930266, -0.79616815, 0.6047938
15, 3047288853, 0.018376157, 0.0012679419, -0.79617023, 0.6047923
16, 3047305520, 0.018293206, 0.0012726485, -0.7961674, 0.6047986
17, 3047322187, 0.01828555, 0.001222924, -0.7961569, 0.6048127
18, 3047338854, 0.018309653, 0.0012291962, -0.7961602, 0.60480756
19, 3047355521, 0.018379139, 0.0012793086, -0.7961862, 0.60477114
20, 3047372188, 0.0185124, 0.0012751918, -0.79621977, 0.604723
21, 3047388855, 0.018541895, 0.00143985, -0.79623014, 0.60470814
22, 3047405522, 0.018626595, 0.0016051062, -0.79624975, 0.6046793
23, 3047422189, 0.018720165, 0.0018430158, -0.79627746, 0.60463905
24, 3047438856, 0.018729493, 0.0021978093, -0.79630953, 0.6045953
25, 3047455523, 0.018766949, 0.0024248925, -0.7963122, 0.60458976
26, 3047472190, 0.01880536, 0.0025007343, -0.796316, 0.60458314
27, 3047488857, 0.018780343, 0.0025583294, -0.79630613, 0.6045969
28, 3047505524, 0.018838828, 0.0024382244, -0.7962974, 0.6046071
29, 3047522191, 0.018903133, 0.0022835562, -0.79627067, 0.60464084
30, 3047538858, 0.01891241, 0.002146094, -0.7962471, 0.60467225
31, 3047555525, 0.018975357, 0.0019259662, -0.79623145, 0.6046916
32, 3047572192, 0.019002689, 0.0017594256, -0.79622704, 0.60469717
33, 3047588859, 0.019030256, 0.0016130465, -0.79621863, 0.6047076
34, 3047605526, 0.019014772, 0.0015490624, -0.79622334, 0.6047021
35, 3047622193, 0.018941123, 0.0015737712, -0.7962105, 0.6047212
36, 3047638860, 0.018846907, 0.0016464554, -0.79622257, 0.60470814
37, 3047655527, 0.018724062, 0.0017424809, -0.79622734, 0.6047052
38, 3047672194, 0.018659458, 0.0017328634, -0.7962168, 0.60472137
39, 3047688861, 0.018545048, 0.0018209622, -0.79621273, 0.6047297
40, 3047705528, 0.018517572, 0.001823456, -0.7962059, 0.60473955
41, 3047722195, 0.018507168, 0.0017698656, -0.796207, 0.60473853
42, 3047738862, 0.018492261, 0.0017273579, -0.7962068, 0.6047395
43, 3047755529, 0.018508261, 0.0015964065, -0.7961945, 0.60475546
44, 3047772196, 0.018526183, 0.0014897247, -0.7961945, 0.6047552
45, 3047788863, 0.01855303, 0.001419793, -0.7961966, 0.6047518
46, 3047805530, 0.018585155, 0.0013437012, -0.7961972, 0.60475016
47, 3047822197, 0.018573366, 0.0013318846, -0.79620063, 0.6047461
48, 3047838864, 0.0185296, 0.0013210063, -0.79619, 0.6047615
49, 3047855531, 0.018578758, 0.001202636, -0.79618025, 0.60477316
50, 3047872198, 0.018551072, 0.0012157267, -0.7961801, 0.6047742
51, 3047888865, 0.018485103, 0.001279652, -0.7961764, 0.6047808
52, 3047905532, 0.01850948, 0.001213158, -0.7961796, 0.604776
53, 3047922199, 0.018470362, 0.0011950268, -0.7961696, 0.60479045
54, 3047938866, 0.0184151, 0.0012048337, -0.7961689, 0.604793
55, 3047955533, 0.018385548, 0.0012111958, -0.7961713, 0.60479075
56, 3047972200, 0.018399948, 0.001201464, -0.79617894, 0.6047803
57, 3047988867, 0.018402567, 0.0012044671, -0.7961768, 0.6047831
58, 3048005534, 0.01832494, 0.0012308662, -0.79617393, 0.60478926
59, 3048022201, 0.018284723, 0.0012033328, -0.79616773, 0.6047985
60, 3048038868, 0.018265547, 0.0012040801, -0.7961696, 0.6047967
61, 3048055535, 0.018243998, 0.0012573266, -0.7961732, 0.6047925
62, 3048072202, 0.018189156, 0.001397056, -0.7961795, 0.60478544
63, 3048088869, 0.018125294, 0.0015681827, -0.7962002, 0.6047597
64, 3048105536, 0.01813169, 0.0016504135, -0.7962046, 0.60475343
65, 3048122203, 0.018134212, 0.0017123901, -0.79620427, 0.60475373
66, 3048138870, 0.01813909, 0.0017508559, -0.7962107, 0.60474503
67, 3048155537, 0.018246338, 0.0016664867, -0.7962111, 0.6047416
68, 3048172204, 0.018235, 0.0016400473, -0.79620796, 0.604746
69, 3048188871, 0.01824696, 0.0015850305, -0.79620266, 0.60475284
70, 3048205538, 0.018264519, 0.0015368548, -0.7962133, 0.6047384
