sep=,
DeviceTag:,Xsens DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Orientation (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2022-06-09 15:53:45.978 +0530,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
1, 3090894099, 0.7257869, 0.66074705, -0.13158402, -0.13904147
2, 3090910766, 0.7264983, 0.6601116, -0.13104317, -0.13885537
3, 3090927433, 0.7271204, 0.65937686, -0.13125119, -0.13889351
4, 3090944100, 0.72744024, 0.6590012, -0.13159057, -0.13867998
5, 3090960767, 0.7276552, 0.65878373, -0.1318336, -0.13835472
6, 3090977434, 0.7277313, 0.6587278, -0.13187115, -0.13818495
7, 3090994101, 0.7276633, 0.65880024, -0.13176121, -0.13830282
8, 3091010768, 0.7275531, 0.6589369, -0.13154116, -0.13843994
9, 3091027435, 0.7274439, 0.6590294, -0.13147944, -0.13863231
10, 3091044102, 0.72738063, 0.6591088, -0.13142405, -0.13863887
11, 3091060769, 0.7273178, 0.6591211, -0.13161224, -0.13873199
12, 3091077436, 0.7273082, 0.6591423, -0.13168417, -0.13861327
13, 3091094103, 0.7273303, 0.6591613, -0.13172786, -0.13836515
14, 3091110770, 0.72736824, 0.6591582, -0.13180956, -0.13810259
15, 3091127437, 0.7274355, 0.65913475, -0.13187638, -0.13779637
16, 3091144104, 0.7275022, 0.6590906, -0.13198023, -0.13755475
17, 3091160771, 0.72759473, 0.65906036, -0.13196392, -0.13722587
18, 3091177438, 0.72765166, 0.6590405, -0.13195142, -0.1370315
19, 3091194105, 0.7276833, 0.6590553, -0.13183182, -0.13690728
20, 3091210772, 0.7276678, 0.6590644, -0.13175376, -0.13702096
21, 3091227439, 0.72766256, 0.6590783, -0.13159871, -0.13713092
22, 3091244106, 0.72765636, 0.6591007, -0.13142517, -0.13722277
23, 3091260773, 0.727692, 0.65911657, -0.13117288, -0.13719901
24, 3091277440, 0.7277356, 0.6591368, -0.13093542, -0.13709761
25, 3091294107, 0.7277448, 0.6591665, -0.13082711, -0.13700902
26, 3091310774, 0.7277363, 0.6591813, -0.13083562, -0.13697517
27, 3091327441, 0.72773844, 0.6592076, -0.13079514, -0.13687555
28, 3091344108, 0.7277193, 0.65921736, -0.13085227, -0.13687566
29, 3091360775, 0.72770405, 0.6592355, -0.13085814, -0.13686413
