sep=,
DeviceTag:,Xsens DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Orientation (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2022-06-09 16:16:07.780 +0530,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
1, 137703617, 0.56413716, -0.45965222, 0.52288103, 0.44391957
2, 137720284, 0.564399, -0.45923018, 0.5232691, 0.44356626
3, 137736951, 0.56416446, -0.459374, 0.52317846, 0.44382244
4, 137753618, 0.5642514, -0.45916313, 0.5234147, 0.44365162
5, 137770285, 0.5640009, -0.45934507, 0.52330047, 0.44391647
6, 137786952, 0.56387955, -0.4594362, 0.52324325, 0.44404376
7, 137803619, 0.56397593, -0.45927805, 0.5233895, 0.44391245
8, 137820286, 0.5640196, -0.45919016, 0.5234686, 0.44385478
9, 137836953, 0.56384116, -0.45936954, 0.52331054, 0.4440821
10, 137853620, 0.5639114, -0.45927188, 0.5233807, 0.4440112
11, 137870287, 0.5639089, -0.45925662, 0.5233734, 0.44403857
12, 137886954, 0.5639596, -0.45917764, 0.52341914, 0.44400212
13, 137903621, 0.563995, -0.4591219, 0.5234569, 0.4439705
14, 137920288, 0.5639564, -0.45914283, 0.5234327, 0.44402644
15, 137936955, 0.5639685, -0.45911068, 0.5234754, 0.44399387
16, 137953622, 0.56394166, -0.4591171, 0.52348256, 0.4440128
17, 137970289, 0.5639808, -0.45904928, 0.52354825, 0.44395578
18, 137986956, 0.5638083, -0.45924762, 0.52336574, 0.4441848
19, 138003623, 0.56386906, -0.4591712, 0.5234364, 0.44410342
20, 138020290, 0.5639092, -0.45913208, 0.5234603, 0.44406468
21, 138036957, 0.5639249, -0.45911086, 0.5234752, 0.4440492
22, 138053624, 0.5639556, -0.4590765, 0.52349204, 0.44402602
23, 138070291, 0.56399506, -0.45904836, 0.52350914, 0.44398472
24, 138086958, 0.56402576, -0.4590224, 0.5235128, 0.44396842
25, 138103625, 0.5640169, -0.45903334, 0.5234915, 0.4439934
